stt,school_name,school_id,location,school_type,ownership,website_url
1,ĐẠI HỌC BÁCH KHOA HÀ NỘI,BKA,Hà Nội,Đại học,Công lập,
2,ĐẠI HỌC ĐÀ NẴNG,E,Đà Nẵng,Đại học,Công lập,
3,ĐẠI HỌC HUẾ,D,Thừa Thiên Huế,Đại học,Công lập,
4,ĐẠI HỌC KINH TẾ TP. HỒ CHÍ MINH,KSA,TP. Hồ Chí Minh,Đại học,Công lập,
5,ĐẠI HỌC QUỐC GIA HÀ NỘI,A,Hà Nội,Đại học,Công lập,
6,ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,C,TP. Hồ Chí Minh,Đại học,Công lập,
7,ĐẠI HỌC THÁI NGUYÊN,B,Thái Nguyên,Đại học,Công lập,
8,ĐẠI HỌC Y DƯỢC TP. HỒ CHÍ MINH,YDS,TP. Hồ Chí Minh,Trường đại học,Công lập,
9,HỌC VIỆN ÂM NHẠC HUẾ,HVA,Thừa Thiên Huế,Học viện,Công lập,
10,HỌC VIỆN ÂM NHẠC QUỐC GIA VIỆT NAM,NVH,Hà Nội,Học viện,Công lập,
11,HỌC VIỆN BÁO CHÍ VÀ TUYÊN TRUYỀN,HBT,Hà Nội,Học viện,Công lập,
12,HỌC VIỆN CÁN BỘ THÀNH PHỐ HỒ CHÍ MINH,HVC,TP. Hồ Chí Minh,"Trường đào tạo, bồi dưỡng",Công lập,
13,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,BVH,Hà Nội,Học viện,Công lập,
14,HỌC VIỆN CHÍNH SÁCH VÀ PHÁT TRIỂN,HCP,Hà Nội,Học viện,Công lập,
15,HỌC VIỆN CHÍNH TRỊ KHU VỰC I,HCC,Hà Nội,"Trường đào tạo, bồi dưỡng",Công lập,
16,HỌC VIỆN CHÍNH TRỊ QUỐC GIA HỒ CHÍ MINH,HVH,Hà Nội,"Trường đào tạo, bồi dưỡng",Công lập,
17,HỌC VIỆN DÂN TỘC,HVD,Hà Nội,"Trường đào tạo, bồi dưỡng",Công lập,
18,HỌC VIỆN HÀNG KHÔNG VIỆT NAM,HHK,TP. Hồ Chí Minh,Học viện,Công lập,
19,HỌC VIỆN HÀNH CHÍNH QUỐC GIA,HCH,Hà Nội,"Trường đào tạo, bồi dưỡng",Công lập,
20,HỌC VIỆN KHOA HỌC VÀ CÔNG NGHỆ,HKC,Hà Nội,"Trường đào tạo, bồi dưỡng",Công lập,
21,HỌC VIỆN KHOA HỌC XÃ HỘI,HXH,Hà Nội,"Trường đào tạo, bồi dưỡng",Công lập,
22,"HỌC VIỆN KHOA HỌC, CÔNG NGHỆ VÀ ĐỔI MỚI SÁNG TẠO",V24,Hà Nội,"Trường đào tạo, bồi dưỡng",Công lập,
23,HỌC VIỆN MÚA VIỆT NAM,CMH,Hà Nội,Học viện,Công lập,
24,HỌC VIỆN NÔNG NGHIỆP VIỆT NAM,HVN,Hà Nội,Học viện,Công lập,
25,HỌC VIỆN NGÂN HÀNG,NHH,Hà Nội,Học viện,Công lập,
26,HỌC VIỆN NGOẠI GIAO,HQT,Hà Nội,Học viện,Công lập,
27,HỌC VIỆN PHỤ NỮ VIỆT NAM,HPN,Hà Nội,Học viện,Công lập,
28,HỌC VIỆN QUẢN LÝ GIÁO DỤC,HVQ,Hà Nội,Học viện,Công lập,
29,HỌC VIỆN TÀI CHÍNH,HTC,Hà Nội,Học viện,Công lập,
30,HỌC VIỆN TOÀ ÁN,HTA,Hà Nội,Học viện,Công lập,
31,HỌC VIỆN THANH THIẾU NIÊN VIỆT NAM,HTN,Hà Nội,Học viện,Công lập,
32,HỌC VIỆN Y DƯỢC HỌC CỔ TRUYỀN VIỆT NAM,HYD,Hà Nội,Học viện,Công lập,
33,NHẠC VIỆN TP. HỒ CHÍ MINH,NVS,TP. Hồ Chí Minh,Học viện,Công lập,
34,Trường Cao đẳng Bắc Kạn,C11,Bắc Kạn,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,
35,Trường Cao đẳng Bến Tre,C56,Bến Tre,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,
36,Trường Cao đẳng Bình Định,C37,Bình Định,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,
37,Trường Cao đẳng Bình Phước,C43,Bình Phước,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,
38,Trường Cao đẳng Cần Thơ,C55,Cần Thơ,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,
