TT,Mã ngành,Tên ngành
1,71401,Khoa học giáo dục
2,7140101,Giáo dục học
3,7140114,Quản lý giáo dục 
4,7140199,Kinh tế Giáo dục
5,71402,Đào tạo giáo viên sư phạm
6,7140201,Giáo dục Mầm non
7,7140202,Giáo dục Tiểu học
8,7140203,Giáo dục Đặc biệt
9,7140204,Giáo dục Công dân
10,7140205,Giáo dục Chính trị
11,7140206,Giáo dục Thể chất
12,7140207,Huấn luyện thể thao
13,7140208,Giáo dục Quốc phòng – An ninh
14,7140209,Sư phạm Toán học
15,7140210,Sư phạm Tin học
16,7140211,Sư phạm Vật lý
17,7140212,Sư phạm Hóa học
18,7140213,Sư phạm Sinh học
19,7140214,Sư phạm Kỹ thuật Công nghiệp
20,7140215,Sư phạm Kỹ thuật Nông nghiệp
21,7140217,Sư phạm Ngữ văn 
22,7140218,Sư phạm Lịch sử
23,7140219,Sư phạm Địa lý
24,7140221,Sư phạm Âm nhạc
25,7140222,Sư phạm Mỹ thuật
26,7140231,Sư phạm Tiếng Anh
27,7140232,Sư phạm Tiếng Nga
28,7140233,Sư phạm Tiếng Pháp
29,7140234,Sư phạm Tiếng Trung Quốc
30,7140235,Sư phạm Tiếng Đức
31,7140236,Sư phạm Tiếng Nhật
32,7140237,Sư phạm Tiếng Hàn Quốc
33,7140245,Sư phạm Nghệ thuật
34,7140246,Sư phạm Công nghệ
35,7140247,Sư phạm Khoa học tự nhiên
36,7140248,Giáo dục Pháp luật
37,7140249,Sư phạm Lịch sử – Địa lý
38,7140250,Sư phạm Tin học – Công nghệ
39,72101,Năng khiếu Mỹ thuật
40,7210101,Lý luận lịch sử và Phê bình mỹ thuật
41,7210103,Hội họa
42,7210104,Đồ họa
43,7210105,Điêu khắc
44,7210107,Gốm
45,7210110,Mỹ thuật đô thị
46,72102,Năng khiếu Trình diễn
47,7210201,Âm nhạc học
48,7210203,Sáng tác Âm nhạc
49,7210204,Chỉ huy Âm nhạc
50,7210205,Thanh nhạc
51,7210207,Biểu diễn nhạc cụ phương Tây
52,7210208,Piano
53,7210209,Nhạc Jazz
54,7210210,Biểu diễn nhạc cụ truyền thống
55,7210221,"Lý luận, Lịch sử và Phê bình sân khấu"
56,7210225,Biên kịch sân khấu 
57,7210226,Diễn viên sân khấu kịch hát
58,7210227,Đạo diễn sân khấu
59,7210231,"Lý luận, Lịch sử và Phê bình điện ảnh, truyền hình"
60,7210233,"Biên kịch điện ảnh, truyền hình"
61,7210234,"Diễn viên kịch, điện ảnh – truyền hình"
62,7210235,"Đạo diễn điện ảnh, truyền hình"
63,7210236,Quay phim
64,7210241,"Lý luận, Lịch sử và Phê bình múa"
65,7210242,Diễn viên múa
66,7210243,Biên đạo múa
67,7210244,Huấn luyện múa
68,72103,Năng khiếu Nghe nhìn
69,7210301,Nhiếp ảnh
70,7210302,"Công nghệ điện ảnh, truyền hình"
71,7210303,"Thiết kế âm thanh, ánh sáng"
72,72104,Năng khiếu Mỹ thuật ứng dụng
73,7210402,Thiết kế công nghiệp
74,7210403,Thiết kế đồ họa
75,7210404,Thiết kế thời trang
76,7210406,"Thiết kế mỹ thuật sân khấu, điện ảnh"
77,7210408,Nghệ thuật số(Digital Art)
